3OH!3 ft. Kesha	My First Kiss
DJ KHALED ft. T-Pain, Ludacris, Rick Ross & Snoop dogg	ALL I Do is Win
DJ Mustard	Pure Water
DJ Scream ft. Future, 2 Chaniz, Gucci Mane	Hoodrich Anthem
DJ Snake	Selfish Love (with Selena Gomez)
DJ Snake	Loco Contigo ft. J Balvin & Tyga
DJ Snake	Taki Taki
DMX	Ruff Ryders' Anthem
DMX	X Gon' Give It To Ya
DNCE	Cake By The Ocean
Doja Cat	Ain't Sh*t
Doja Cat	Been Like This
Doja Cat	Boss Bitch
Doja Cat	Freak
Doja Cat	Get Into It (Yuh)
Doja Cat	I Don't Do Drugs (feat. Ariana Grande)
Doja Cat	Kiss Me More (feat. SZA)
Doja Cat	Like That (feat. Gucci Mane)
Doja Cat	Naked
Doja Cat	Need To Know
Doja Cat	Payday (feat. Young Thug)
Doja Cat	Say So (feat. Nicki Minaj)
Doja Cat	Streets
Doja Cat	Woman
Doja Cat	Candy
Doja Cat & Tyga	Juicy
Doja Cat, The Weeknd	You Right
Dominic Fike	3 Nights
Don Toliver	After Party
Don Toliver	Cardigan
Don Toliver	Had Enough (feat. Quavo & Offset)
Don Toliver	No Idea
Don Toliver	What You Need
Dozay	Salsa
Dr. Dre feat. Eminem and Skylar Grey	I Need A Doctor
Drake	Chicago Freestyle (feat. Giveon)
Drake	Deep Pockets
Drake	Demons (feat. Fivio Foreign & Sosa Geek)
Drake	Desires (with Future)
Drake	From Florida With Love
Drake	Landed
Drake	Lemon Pepper Freestyle (feat. Rick Ross)
Drake	Losses
Drake	Not You Too (feat. Chris Brown)
Drake	Pain 1993 (with Playboi Carti)
Drake	Time Flies
Drake	Wants and Needs (feat. Lil Baby)
Drake	War
Drake	What's Next
Drake	When To Say When
Drake	Money In The Grave
Drake	God's Plan
Drake	I'm Upset
Drake	In My Feelings
Drake	Nice For What
Drake	Nonstop
Drake	Fake Love
Drake	Controlla [ft popcaan]
Drake	Right Hand
Drake	Back to Back
Drake	0 to 100 / The Catch Up
Drake	The Language
Drake	Started From The Bottom
Drake	Headlines
Drake 	Toosie Slide
Drake 	Worst Behavior
Drake & Future	Big Rings
Drake & Future	Jumpman
Drake & Future	Where Ya At
Drake feat. Lil Wayne	The Motto
Drake feat. Majid Jordan	Hold On, We're Going Home
Drake feat. Rihanna	Too Good
Drake feat. Rihanna	Take Care
Drake feat. The Throne	Pop Style
Drake Featuring Lil Durk	Laugh Now Cry Later
Drake ft. 2 chaniz & Big Sean	All Me
Drake ft. Alicia Keys	Un-Thinkable (I'm Ready)
Drake, WizKid, Kyla	One Dance
DripReport	Skechers
Dua Lipa	Levitating (feat. DaBaby)
Dua Lipa	IDGAF
Dua Lipa	Blow Your Mind (Mwah)
DVBBS, Bridge	GOMF
Ed Sheeran	Bad Habits
Ed Sheeran	Don't
Eden XO	Too Cool To Dance
Ekka Nau	Shot Clock
Ellie Goulding	Close to Me
Ellie Goulding	Army
ElyOtto	SugarCrash!
Eminem	Alfred - Interlude
Eminem	Darkness
